0x0000000001944430 => 0x0000000000B39B20   (0xA2)   VM_OP_InvalidOpcode_Handler
0x0000000001944438 => 0x0000000000B1C220   (0xA3)   VM_OP_ScriptFunctionCallPointer_Handler
0x0000000001944440 => 0x0000000000B22610   (0xA4)   VM_OP_EndOnCallback_Handler
0x0000000001944448 => 0x0000000000B1A5A0   (0xA5)   VM_OP_GreaterThanOrEqualTo_Handler
0x0000000001944450 => 0x0000000000B39B20   (0xA6)   VM_OP_InvalidOpcode_Handler
0x0000000001944458 => 0x0000000000B22610   (0xA7)   VM_OP_EndOnCallback_Handler
0x0000000001944460 => 0x0000000000B19F00   (0xA8)   VM_OP_Inc_Handler
0x0000000001944468 => 0x0000000000B39B20   (0xA9)   VM_OP_InvalidOpcode_Handler
0x0000000001944470 => 0x0000000000B22D80   (0xAA)   VM_OP_Wait_Handler
0x0000000001944478 => 0x0000000000B1A300   (0xAB)   VM_OP_Bit_Or_Handler
0x0000000001944480 => 0x0000000000B1C570   (0xAC)   VM_OP_ScriptFunctionCallClass_Handler
0x0000000001944488 => 0x0000000000B1A720   (0xAD)   VM_OP_Modulus_Handler
0x0000000001944490 => 0x0000000000B1E930   (0xAE)   VM_OP_GetAPIFunction_Handler
0x0000000001944498 => 0x0000000000B39B20   (0xAF)   VM_OP_InvalidOpcode_Handler
0x00000000019444A0 => 0x0000000000B1E900   (0xB0)   VM_OP_GetFunction_Handler
0x00000000019444A8 => 0x0000000000B1A300   (0xB1)   VM_OP_Bit_Or_Handler
0x00000000019444B0 => 0x0000000000B39B20   (0xB2)   VM_OP_InvalidOpcode_Handler
0x00000000019444B8 => 0x0000000000B39B20   (0xB3)   VM_OP_InvalidOpcode_Handler
0x00000000019444C0 => 0x0000000000B1A3C0   (0xB4)   VM_OP_Equal_Handler
0x00000000019444C8 => 0x0000000000B1D040   (0xB5)   VM_OP_ScriptThreadCallClass_Handler
0x00000000019444D0 => 0x0000000000B1D290   (0xB6)   VM_OP_ScriptMethodThreadCall_Handler
0x00000000019444D8 => 0x0000000000B39B20   (0xB7)   VM_OP_InvalidOpcode_Handler
0x00000000019444E0 => 0x0000000000B39B20   (0xB8)   VM_OP_InvalidOpcode_Handler
0x00000000019444E8 => 0x0000000000B1A5E0   (0xB9)   VM_OP_ShiftLeft_Handler
0x00000000019444F0 => 0x0000000000B39B20   (0xBA)   VM_OP_InvalidOpcode_Handler
0x00000000019444F8 => 0x0000000000B39B20   (0xBB)   VM_OP_InvalidOpcode_Handler
0x0000000001944500 => 0x0000000000B1A100   (0xBC)   VM_OP_Dec_Handler
0x0000000001944508 => 0x0000000000B39B20   (0xBD)   VM_OP_InvalidOpcode_Handler
0x0000000001944510 => 0x0000000000B39B20   (0xBE)   VM_OP_InvalidOpcode_Handler
0x0000000001944518 => 0x0000000000B1A7E0   (0xBF)   VM_OP_BoolComplement_Handler
0x0000000001944520 => 0x0000000000B39B20   (0xC0)   VM_OP_InvalidOpcode_Handler
0x0000000001944528 => 0x0000000000B39B20   (0xC1)   VM_OP_InvalidOpcode_Handler
0x0000000001944530 => 0x0000000000B1E900   (0xC2)   VM_OP_GetFunction_Handler
0x0000000001944538 => 0x0000000000B39B20   (0xC3)   VM_OP_InvalidOpcode_Handler
0x0000000001944540 => 0x0000000000B1C220   (0xC4)   VM_OP_ScriptFunctionCallPointer_Handler
0x0000000001944548 => 0x0000000000B39B20   (0xC5)   VM_OP_InvalidOpcode_Handler
0x0000000001944550 => 0x0000000000B1E900   (0xC6)   VM_OP_GetFunction_Handler
0x0000000001944558 => 0x0000000000B201C0   (0xC7)   VM_OP_SafeDecTop_Handler
0x0000000001944560 => 0x0000000000B1FD00   (0xC8)   VM_OP_GetTime_Handler
0x0000000001944568 => 0x0000000000B1A660   (0xC9)   VM_OP_Plus_Handler
0x0000000001944570 => 0x0000000000B1A6C0   (0xCA)   VM_OP_Multiply_Handler
0x0000000001944578 => 0x0000000000B1A8C0   (0xCB)   VM_OP_GetNegUnsignedShort_Handler
0x0000000001944580 => 0x0000000000B1A430   (0xCC)   VM_OP_SuperEqual_Handler
0x0000000001944588 => 0x0000000000B1A5E0   (0xCD)   VM_OP_ShiftLeft_Handler
0x0000000001944590 => 0x0000000000B1A7F0   (0xCE)   VM_OP_GetUndefined_Handler
0x0000000001944598 => 0x0000000000B39B20   (0xCF)   VM_OP_InvalidOpcode_Handler
0x00000000019445A0 => 0x0000000000B1F3F0   (0xD0)   VM_OP_SetVariableField_Handler
0x00000000019445A8 => 0x0000000000B1FFE0   (0xD1)   VM_OP_NextArrayKey_Handler
0x00000000019445B0 => 0x0000000000B39B20   (0xD2)   VM_OP_InvalidOpcode_Handler
0x00000000019445B8 => 0x0000000000B1A490   (0xD3)   VM_OP_SuperNotEqual_Handler
0x00000000019445C0 => 0x0000000000B1A490   (0xD4)   VM_OP_SuperNotEqual_Handler
0x00000000019445C8 => 0x0000000000B1E540   (0xD5)   VM_OP_ProfileStart_Handler
0x00000000019445D0 => 0x0000000000B39B20   (0xD6)   VM_OP_InvalidOpcode_Handler
0x00000000019445D8 => 0x0000000000B1A9F0   (0xD7)   VM_OP_GetIString_Handler
0x00000000019445E0 => 0x0000000000B1A660   (0xD8)   VM_OP_Plus_Handler
0x00000000019445E8 => 0x0000000000B39B20   (0xD9)   VM_OP_InvalidOpcode_Handler
