0x0000000001983318 => 0x0000000000B74C70   (0xB5)   VM_OP_ScriptThreadCallClass_Handler
0x0000000001983320 => 0x0000000000B74EC0   (0xB6)   VM_OP_ScriptMethodThreadCall_Handler
0x0000000001983328 => 0x0000000000B8B500   (0xB7)   VM_OP_InvalidOpcode_Handler
0x0000000001983330 => 0x0000000000B8B500   (0xB8)   VM_OP_InvalidOpcode_Handler
0x0000000001983338 => 0x0000000000B70720   (0xB9)   VM_OP_ShiftLeft_Handler
0x0000000001983340 => 0x0000000000B8B500   (0xBA)   VM_OP_InvalidOpcode_Handler
0x0000000001983348 => 0x0000000000B8B500   (0xBB)   VM_OP_InvalidOpcode_Handler
0x0000000001983350 => 0x0000000000B70280   (0xBC)   VM_OP_Dec_Handler
0x0000000001983358 => 0x0000000000B8B500   (0xBD)   VM_OP_InvalidOpcode_Handler
0x0000000001983360 => 0x0000000000B8B500   (0xBE)   VM_OP_InvalidOpcode_Handler
0x0000000001983368 => 0x0000000000B72110   (0xBF)   VM_OP_BoolComplement_Handler
0x0000000001983370 => 0x0000000000B8B500   (0xC0)   VM_OP_InvalidOpcode_Handler
0x0000000001983378 => 0x0000000000B8B500   (0xC1)   VM_OP_InvalidOpcode_Handler
0x0000000001983380 => 0x0000000000B765F0   (0xC2)   VM_OP_GetFunction_Handler
0x0000000001983388 => 0x0000000000B8B500   (0xC3)   VM_OP_InvalidOpcode_Handler
0x0000000001983390 => 0x0000000000B73E10   (0xC4)   VM_OP_ScriptFunctionCallPointer_Handler
0x0000000001983398 => 0x0000000000B8B500   (0xC5)   VM_OP_InvalidOpcode_Handler
0x00000000019833A0 => 0x0000000000B765F0   (0xC6)   VM_OP_GetFunction_Handler
0x00000000019833A8 => 0x0000000000B79300   (0xC7)   VM_OP_SafeDecTop_Handler
0x00000000019833B0 => 0x0000000000B78E10   (0xC8)   VM_OP_GetTime_Handler
0x00000000019833B8 => 0x0000000000B707A0   (0xC9)   VM_OP_Plus_Handler
0x00000000019833C0 => 0x0000000000B719E0   (0xCA)   VM_OP_Multiply_Handler
0x00000000019833C8 => 0x0000000000B722B0   (0xCB)   VM_OP_GetNegUnsignedShort_Handler
0x00000000019833D0 => 0x0000000000B70570   (0xCC)   VM_OP_SuperEqual_Handler
0x00000000019833D8 => 0x0000000000B70720   (0xCD)   VM_OP_ShiftLeft_Handler
0x00000000019833E0 => 0x0000000000B721E0   (0xCE)   VM_OP_GetUndefined_Handler
0x00000000019833E8 => 0x0000000000B8B500   (0xCF)   VM_OP_InvalidOpcode_Handler
0x00000000019833F0 => 0x0000000000B77EF0   (0xD0)   VM_OP_SetVariableField_Handler
0x00000000019833F8 => 0x0000000000B79080   (0xD1)   VM_OP_NextArrayKey_Handler
0x0000000001983400 => 0x0000000000B8B500   (0xD2)   VM_OP_InvalidOpcode_Handler
0x0000000001983408 => 0x0000000000B705D0   (0xD3)   VM_OP_SuperNotEqual_Handler
0x0000000001983410 => 0x0000000000B705D0   (0xD4)   VM_OP_SuperNotEqual_Handler
0x0000000001983418 => 0x0000000000B76230   (0xD5)   VM_OP_ProfileStart_Handler
0x0000000001983420 => 0x0000000000B8B500   (0xD6)   VM_OP_InvalidOpcode_Handler
0x0000000001983428 => 0x0000000000B723B0   (0xD7)   VM_OP_GetIString_Handler
0x0000000001983430 => 0x0000000000B707A0   (0xD8)   VM_OP_Plus_Handler
0x0000000001983438 => 0x0000000000B8B500   (0xD9)   VM_OP_InvalidOpcode_Handler
0x0000000001983440 => 0x0000000000B70670   (0xDA)   VM_OP_GreaterThan_Handler
0x0000000001983448 => 0x0000000000B74150   (0xDB)   VM_OP_ScriptFunctionCallClass_Handler
0x0000000001983450 => 0x0000000000B8B500   (0xDC)   VM_OP_InvalidOpcode_Handler
0x0000000001983458 => 0x0000000000B7D190   (0xDD)   VM_OP_WaitTillFrameEnd_Handler
0x0000000001983460 => 0x0000000000B766A0   (0xDE)   VM_OP_EvalArray_Handler
0x0000000001983468 => 0x0000000000B70720   (0xDF)   VM_OP_ShiftLeft_Handler
0x0000000001983470 => 0x0000000000B72A30   (0xE0)   VM_OP_JumpOnTrue_Handler
0x0000000001983478 => 0x0000000000B8B500   (0xE1)   VM_OP_InvalidOpcode_Handler
0x0000000001983480 => 0x0000000000B721E0   (0xE2)   VM_OP_GetUndefined_Handler
0x0000000001983488 => 0x0000000000B73960   (0xE3)   VM_OP_CallBuiltinMethod_Handler
0x0000000001983490 => 0x0000000000B70640   (0xE4)   VM_OP_LessThan_Handler
0x0000000001983498 => 0x0000000000B71890   (0xE5)   VM_OP_Minus_Handler
0x00000000019834A0 => 0x0000000000B765F0   (0xE6)   VM_OP_GetFunction_Handler
0x00000000019834A8 => 0x0000000000B7E350   (0xE7)   VM_OP_RealWait_Handler
0x00000000019834B0 => 0x0000000000B8B500   (0xE8)   VM_OP_InvalidOpcode_Handler
0x00000000019834B8 => 0x0000000000B8B500   (0xE9)   VM_OP_InvalidOpcode_Handler
0x00000000019834C0 => 0x0000000000B8B500   (0xEA)   VM_OP_InvalidOpcode_Handler
